Current (mA)	Voltage (V)	Power (mW)
24.20000	2.07095	0.01183
24.25000	2.07095	0.01262
24.30000	2.07103	0.01216
24.35000	2.07106	0.01247
24.40000	2.07092	0.01176
24.45000	2.07090	0.01224
24.50000	2.07099	0.01228
24.55000	2.07092	0.01224
24.60000	2.07095	0.01228
24.65000	2.07090	0.01220
24.70000	2.07096	0.01209
24.75000	2.07098	0.01228
24.80000	2.07093	0.01209
24.85000	2.07108	0.01183
24.90000	2.07100	0.01231
24.95000	2.07098	0.01199
25.00000	2.07100	0.01270
25.05000	2.07094	0.01195
25.10000	2.07091	0.01209
25.15000	2.07098	0.01191
25.20000	2.07099	0.01224
25.25000	2.07099	0.01216
25.30000	2.07098	0.01291
25.35000	2.07097	0.01258
25.40000	2.07097	0.01228
25.45000	2.07090	0.01202
25.50000	2.07101	0.01172
25.55000	2.07103	0.01243
25.60000	2.07101	0.01247
25.65000	2.07098	0.01205
25.70000	2.07098	0.01205
25.75000	2.07101	0.01220
25.80000	2.07096	0.01231
25.85000	2.07095	0.01247
25.90000	2.07093	0.01243
25.95000	2.07091	0.01199
26.00000	2.07100	0.01220
26.05000	2.07097	0.01235
26.10000	2.07094	0.01205
26.15000	2.07093	0.01202
26.20000	2.07101	0.01205
26.25000	2.07106	0.01205
26.30000	2.07093	0.01191
26.35000	2.07095	0.01254
26.40000	2.07101	0.01220
26.45000	2.07106	0.01212
26.50000	2.07095	0.01191
26.55000	2.07099	0.01195
26.60000	2.07103	0.01220
26.65000	2.07096	0.01235
26.70000	2.07090	0.01212
26.75000	2.07102	0.01168
26.80000	2.07096	0.01212
26.85000	2.07099	0.01212
26.90000	2.07099	0.01199
26.95000	2.07093	0.01235
27.00000	2.07093	0.01224
27.05000	2.07093	0.01247
27.10000	2.07103	0.01187
27.15000	2.07098	0.01209
27.20000	2.07098	0.01247
27.25000	2.07099	0.01239
27.30000	2.07098	0.01231
27.35000	2.07095	0.01187
27.40000	2.07098	0.01231
27.45000	2.07095	0.01258
27.50000	2.07096	0.01202
27.55000	2.07092	0.01205
27.60000	2.07094	0.01231
27.65000	2.07094	0.01228
27.70000	2.07101	0.01216
27.75000	2.07091	0.01183
27.80000	2.07092	0.01209
27.85000	2.07098	0.01205
