Current (mA)	Voltage (V)	Power (mW)
20.35000	2.50085	0.00966
20.40000	2.50085	0.00978
20.45000	2.50082	0.00932
20.50000	2.50086	0.00982
20.55000	2.50086	0.00970
20.60000	2.50095	0.00970
20.65000	2.50083	0.00963
20.70000	2.50083	0.00963
20.75000	2.50085	0.01011
20.80000	2.50090	0.00974
20.85000	2.50088	0.00966
20.90000	2.50093	0.01015
20.95000	2.50088	0.00985
21.00000	2.50084	0.00978
21.05000	2.50092	0.00959
21.10000	2.50083	0.00974
21.15000	2.50087	0.00989
21.20000	2.50088	0.01015
21.25000	2.50082	0.00940
21.30000	2.50091	0.00936
21.35000	2.50095	0.00974
21.40000	2.50085	0.00996
21.45000	2.50092	0.00989
21.50000	2.50095	0.00989
21.55000	2.50087	0.00985
21.60000	2.50087	0.00989
21.65000	2.50098	0.00963
21.70000	2.50085	0.00907
21.75000	2.50090	0.00978
21.80000	2.50087	0.00963
21.85000	2.50093	0.01007
21.90000	2.50087	0.00963
21.95000	2.50089	0.00992
22.00000	2.50096	0.00992
22.05000	2.50093	0.00951
22.10000	2.50080	0.00970
22.15000	2.50075	0.01030
22.20000	2.50093	0.00963
22.25000	2.50092	0.01003
22.30000	2.50085	0.00963
22.35000	2.50088	0.00921
22.40000	2.50087	0.00985
22.45000	2.50087	0.01007
22.50000	2.50086	0.00996
22.55000	2.50084	0.00966
22.60000	2.50090	0.01003
22.65000	2.50085	0.00966
22.70000	2.50086	0.00951
22.75000	2.50090	0.00966
22.80000	2.50085	0.00966
22.85000	2.50092	0.00974
22.90000	2.50095	0.01003
22.95000	2.50087	0.00928
23.00000	2.50075	0.00985
23.05000	2.50082	0.00989
23.10000	2.50086	0.01007
23.15000	2.50083	0.00932
23.20000	2.50083	0.00985
23.25000	2.50100	0.00982
23.30000	2.50092	0.00978
23.35000	2.50079	0.00963
23.40000	2.50085	0.00974
23.45000	2.50091	0.00982
23.50000	2.50095	0.00992
23.55000	2.50085	0.00970
23.60000	2.50082	0.00959
23.65000	2.50087	0.00974
23.70000	2.50087	0.00985
23.75000	2.50088	0.00989
23.80000	2.50090	0.00974
23.85000	2.50085	0.01026
